text,true_label,predicted,correct
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet",ham,ham,True
Ok lar... Joking wif u oni...,ham,ham,True
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 8,spam,spam,True
U dun say so early hor... U c already then say...,ham,ham,True
"Nah I don't think he goes to usf, he lives around here though",ham,ham,True
FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some,spam,ham,False
Even my brother is not like to speak with me. They treat me like aids patent.,ham,ham,True
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been ,ham,ham,True
WINNER!! As a valued network customer you have been selected to receivea £900 pr,spam,spam,True
Had your mobile 11 months or more? U R entitled to Update to the latest colour m,spam,ham,False
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight,ham,ham,True
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575.",spam,ham,False
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt",spam,spam,True
I've been searching for the right words to thank you for this breather. I promis,ham,ham,True
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,ham,True
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt messa",spam,spam,True
Oh k...i'm watching here:),ham,ham,True
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet,ham,ham,True
Fine if that's the way u feel. That's the way its gota b,ham,ham,True
England v Macedonia - dont miss the goals/team news. Txt ur national team to 870,spam,ham,False
Is that seriously how you spell his name?,ham,ham,True
I‘m going to try for 2 months ha ha only joking,ham,ham,True
So ü pay first lar... Then when is da stock comin...,ham,ham,True
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch ,ham,ham,True
Ffffffffff. Alright no way I can meet up with you sooner?,ham,ham,True
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark i,ham,ham,True
Lol your always so convincing.,ham,ham,True
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eati,ham,ham,True
"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,ham,True
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,ham,True
"Wait that's still not all that clear, were you not sure about me being sarcastic",ham,ham,True
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin lik,ham,ham,True
K tell me anything about you.,ham,ham,True
For fear of fainting with the of all that housework you just did? Quick have a c,ham,ham,True
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month,spam,ham,False
