text,true_label,predicted,correct
Dear SBI customer your KYC is expired update now at http://sbi-kyc-verify.xyz or,spam,spam,True
HDFC Bank Alert your account will be suspended due to incomplete KYC click here ,spam,spam,True
Aapka SBI account band ho jayega abhi KYC update karein 9876543210 par call kare,spam,spam,True
Your Aadhaar linked bank account needs KYC update share OTP received on mobile t,spam,spam,True
ICICI Bank Net banking blocked update KYC at icici-verify.in within 48 hours,spam,spam,True
Dear customer your PAN card KYC verification is pending visit http://pan-kyc-upd,spam,spam,True
Axis Bank your account will be deactivated KYC update required call 9876543210 n,spam,spam,True
Kotak Mahindra Bank KYC expired update within 24 hours at kotak-kyc.xyz or face ,spam,ham,False
Bank of Baroda urgent KYC update required click http://bob-kyc-verify.com to avo,spam,spam,True
Aapka bank account freeze ho jayega KYC complete karne ke liye abhi 9876543210 p,spam,ham,False
Your mobile banking is blocked due to KYC non-compliance update at http://mobile,spam,spam,True
PNB customer your account will be blocked update KYC details at pnb-kyc-update.i,spam,ham,False
Canara Bank final notice KYC update pending account will be suspended in 2 hours,spam,spam,True
Union Bank of India your net banking access blocked complete KYC at unionbank-ky,spam,ham,False
Dear valued customer your bank KYC is incomplete share your Aadhaar OTP to verif,spam,ham,False
Congratulations Rs 15000 cashback credited scan QR code on Google Pay to collect,spam,spam,True
Aapko Rs 10000 ka cashback mila hai Google Pay par ye QR scan karein paise recei,spam,spam,True
OLX buyer I will pay via UPI please scan this QR code to receive Rs 8000 for you,spam,spam,True
Your PhonePe account credited Rs 5000 enter UPI PIN at phonepe-reward.xyz to rec,spam,ham,False
Paytm refund of Rs 2500 pending click link to receive paytm-refund.xyz,spam,spam,True
Google Pay cashback Rs 3000 scan QR to receive money in your account immediately,spam,spam,True
Amazon Pay reward Rs 1500 credited scan QR code to transfer to bank account,spam,spam,True
Flipkart cashback Rs 500 pending scan QR code on PhonePe to receive your reward,spam,spam,True
BHIM UPI payment of Rs 12000 pending from buyer scan QR to receive immediately,spam,spam,True
Aapke UPI account mein Rs 25000 aaya hai receive karne ke liye ye link click kar,spam,ham,False
Your UPI refund is ready scan this QR code to get Rs 4500 back in your account,spam,spam,True
Jio cashback Rs 200 credited scan QR on any UPI app to receive your reward,spam,ham,False
Airtel payment bank Rs 1000 reward scan QR code to collect your cashback now,spam,spam,True
Meesho seller payment Rs 8500 pending scan QR code to receive your dues,spam,spam,True
OLX scooter buyer will pay Rs 45000 via UPI scan QR to receive full payment,spam,spam,True
Work from home earn Rs 5000 per day doing simple data entry pay Rs 500 registrat,spam,spam,True
Ghar baithe kaam karein Rs 3000 roz kamayein sirf Rs 200 registration fee abhi j,spam,spam,True
Amazon hiring part time Rs 800 per hour like YouTube videos registration Rs 299 ,spam,spam,True
Urgent hiring online survey job Rs 50 per survey 100 surveys per day possible jo,spam,spam,True
Flipkart work from home package 45k per month send Rs 1000 security deposit to c,spam,spam,True
Part time job opportunity earn Rs 2000 daily from home no experience needed pay ,spam,spam,True
Google data entry job work from home Rs 500 per hour registration fee Rs 199 onl,spam,spam,True
Meesho reseller job earn Rs 10000 per month from home pay Rs 500 training fee to,spam,spam,True
YouTube like and subscribe job earn Rs 800 per hour registration Rs 299 WhatsApp,spam,ham,False
Swiggy delivery partner earn Rs 1500 daily registration fee Rs 500 call 98765432,spam,spam,True
Zomato work from home customer support Rs 25000 per month pay Rs 1000 security d,spam,spam,True
Naukri.com verified job offer Rs 50000 per month work from home pay Rs 2000 regi,spam,spam,True
Ghar se kaam karein typing job Rs 15 per line earn Rs 5000 daily registration Rs,spam,ham,False
Instagram influencer job earn Rs 3000 per post pay Rs 500 to get brand deals,spam,ham,False
Telegram channel job earn Rs 1000 per day by forwarding messages registration Rs,spam,ham,False
Mumbai Customs your FedEx parcel contains drugs pay Rs 25000 clearance fee or fa,spam,spam,True
CBI officer aapke naam ka parcel pakda gaya hai drugs ke saath abhi Rs 15000 bhe,spam,spam,True
Your Amazon parcel held at Delhi customs drugs found pay Rs 8000 release fee imm,spam,spam,True
DTDC your package contains banned substances pay customs duty Rs 5000 to release,spam,spam,True
DHL courier your parcel seized at Mumbai airport illegal items found pay Rs 2000,spam,spam,True
Narcotics Control Bureau your parcel from Dubai contains drugs pay Rs 30000 to a,spam,spam,True
BlueDart courier your package held at customs pay Rs 3500 duty to release your p,spam,spam,True
Ye CBI se bol raha hoon aapke naam ka parcel pakda gaya hai abhi settle karein,spam,spam,True
Your international parcel from USA contains restricted items pay Rs 12000 custom,spam,spam,True
FedEx India your parcel is held at customs office pay Rs 7500 to release immedia,spam,spam,True
Congratulations your number won Rs 25 lakh in KBC Lucky Draw contact 9876543210 ,spam,spam,True
Aapne Rs 50 lakh ka inaam jeeta hai claim karne ke liye Rs 5000 processing fee b,spam,spam,True
Jio Lucky Subscriber you won Rs 10 lakh pay Rs 2500 processing fee to claim priz,spam,spam,True
Amazon Great Sale Winner you won Rs 1 crore send Rs 10000 tax clearance to claim,spam,spam,True
Your mobile number selected in Airtel Lucky Draw prize iPhone 15 pay Rs 1500 del,spam,spam,True
KBC lottery winner Rs 75 lakh contact Amitabh Bachchan office 9876543210 within ,spam,spam,True
Flipkart Big Billion Day winner you won Rs 5 lakh pay Rs 3000 processing to clai,spam,spam,True
Paytm lucky draw winner Rs 2 lakh pay Rs 1000 GST to receive your prize money,spam,spam,True
BSNL lottery winner Rs 15 lakh pay Rs 2000 registration to claim your prize,spam,spam,True
Vodafone lucky customer you won Rs 8 lakh pay Rs 1500 processing fee to receive,spam,spam,True
TRAI notice your mobile will be disconnected in 2 hours due to illegal activitie,spam,ham,False
Income Tax Department refund Rs 18500 approved update bank at incometax-refund.x,spam,spam,True
RBI your account involved in money laundering call CBI officer immediately 98765,spam,spam,True
Ye Delhi Police se bol raha hoon aapke naam FIR darj hui hai abhi settle karein,spam,spam,True
ED notice your property attached for tax evasion pay Rs 50000 to avoid arrest,spam,spam,True
CBI headquarters digital arrest issued against you stay on WhatsApp video call,spam,spam,True
Narcotics Bureau your Aadhaar linked to drug trafficking pay Rs 1 lakh to close ,spam,spam,True
Supreme Court order your bank account frozen pay Rs 25000 to unfreeze immediatel,spam,spam,True
GST department notice tax evasion detected pay Rs 15000 penalty to avoid prosecu,spam,ham,False
EPFO your PF account will be closed update KYC at epfo-kyc.xyz immediately,spam,ham,False
Customs Department your import shipment seized pay Rs 35000 duty to release,spam,spam,True
Ministry of Finance your account flagged for suspicious transactions call 987654,spam,ham,False
SEBI notice your trading account suspended for illegal activity pay Rs 20000 fin,spam,spam,True
Passport office your passport application rejected pay Rs 5000 to reprocess,spam,ham,False
Aadhaar Authority your Aadhaar will be deactivated update at uidai-update.xyz,spam,ham,False
BESCOM electricity disconnected tonight 9 30 PM overdue bill pay http://bescom-p,spam,spam,True
MSEDCL last warning pay Rs 1847 via UPI 9876543210 at paytm or disconnection ton,spam,spam,True
Bijli vibhag aapka bijli connection aaj raat band ho jayega abhi Rs 1847 pay kar,spam,ham,False
BSES final notice electricity supply disconnected in 2 hours pay Rs 2340 immedia,spam,spam,True
UPPCL electricity bill overdue Rs 3200 pay at uppcl-pay.in or connection cut ton,spam,spam,True
TNEB your electricity connection will be disconnected pay pending bill Rs 1650 n,spam,ham,False
TPDDL Delhi electricity board last warning pay Rs 2100 or disconnection in 1 hou,spam,spam,True
CESC Kolkata electricity bill overdue pay Rs 1900 at cesc-pay.xyz to avoid disco,spam,spam,True
WBSEDCL your meter will be removed due to unpaid dues pay Rs 2800 immediately,spam,spam,True
Bijli ka bill bahut zyada ho gaya hai abhi pay karein warna connection kat jayeg,spam,ham,False
SBI we are updating your account security share OTP with our executive to comple,spam,spam,True
Aapke phone par OTP aaya hoga woh OTP humein batayein account verify karne ke li,spam,ham,False
HDFC your account upgrade pending share OTP received on mobile with our team,spam,spam,True
Paytm KYC share OTP sent to your number to complete video KYC process,spam,spam,True
Bank executive calling please share OTP for KYC verification secure process,spam,spam,True
Your net banking OTP is required for account verification share with our officer,spam,ham,False
PhonePe account verification pending share OTP to complete KYC process,spam,spam,True
Google Pay security update share OTP received on your mobile to verify account,spam,spam,True
Amazon Pay account verification share OTP with customer care to unlock account,spam,spam,True
Jio SIM verification share OTP received on your number to prevent disconnection,spam,spam,True
CBI you are under digital arrest stay on WhatsApp video call do not leave home o,spam,spam,True
Narcotics Bureau digital arrest issued connect on Skype immediately pay Rs 5 lak,spam,spam,True
Aap digital arrest mein hain ghar se mat niklein video call par connected rahein,spam,spam,True
Supreme Court digital arrest order stay on video call for 48 hours disconnect me,spam,spam,True
ED officer digital arrest warrant issued pay Rs 3 lakh to avoid physical arrest ,spam,spam,True
CBI Mumbai digital arrest your Aadhaar linked to money laundering stay on call,spam,spam,True
Cyber Crime Police digital arrest issued against you stay on WhatsApp call now,spam,spam,True
Ye CBI officer bol raha hoon digital arrest hua hai video call par aao abhi,spam,spam,True
Delhi Police digital arrest your mobile number used in crime stay connected on S,spam,spam,True
NCB digital arrest drug trafficking case against you pay Rs 2 lakh to close case,spam,spam,True
Join Telegram group for guaranteed 50 percent monthly returns on stock tips min ,spam,ham,False
Crypto trading bot 300 percent returns guaranteed invest Rs 10000 get Rs 30000 i,spam,ham,False
SEBI registered advisor guaranteed 40 percent annual returns limited slots inves,spam,ham,False
Bitcoin investment double your money in 30 days 100 percent guaranteed WhatsApp ,spam,spam,True
Stock market tips group earn Rs 10000 daily guaranteed join fee Rs 2000 only,spam,ham,False
Forex trading earn Rs 50000 per month guaranteed investment Rs 25000 minimum,spam,ham,False
Mutual fund guaranteed 30 percent returns in 6 months invest Rs 10000 now,spam,ham,False
IPO allotment guaranteed pay Rs 5000 to get shares in upcoming IPO,spam,ham,False
Share market tips 100 percent accurate pay Rs 3000 per month for daily tips,spam,ham,False
Crypto arbitrage bot earn Rs 5000 daily invest Rs 15000 guaranteed returns,spam,spam,True
Your SBI account debited Rs 500 on 01-May-2024 available balance Rs 12450 Txn ID,ham,ham,True
IRCTC PNR 1234567890 confirmed Train 12345 on 05-May-2024 Coach S4 Berth 32 have,ham,ham,True
Your Aadhaar update request received visit nearest centre with original document,ham,ham,True
BESCOM your electricity bill of Rs 1250 for April 2024 is due on 15-May pay via ,ham,spam,False
Paytm Rs 200 paid to BigBazaar on 01-May-2024 at 3 45 PM Txn ID TXN123456 balanc,ham,ham,True
HDFC Bank your credit card bill of Rs 8500 is due on 15th May 2024 pay at hdfcba,ham,spam,False
Your Jio recharge of Rs 239 is successful validity 28 days data 1.5GB per day,ham,spam,False
